fechaHora,direccionViento,direccionRacha,velocidadViento,velocidadRacha,temperatura,humedadRelativa,presionBar,lluvia,radiacionSolar,idEstacion
06/04/23 12:00:00,265.0,258.0,3.8,15.0,9.7,80,633.0,0,103,ALTZOMONI
06/04/23 11:50:00,183.0,179.0,7.8,18.5,10.7,66,632.9,0,246,ALTZOMONI
06/04/23 11:40:00,209.0,172.0,6.8,16.7,9.8,68,633.0,0,447,ALTZOMONI
06/04/23 11:30:00,249.0,183.0,4.8,14.6,9.4,72,633.0,0,194,ALTZOMONI
06/04/23 11:20:00,237.0,269.0,3.9,14.3,9.6,72,633.1,0,171,ALTZOMONI
06/04/23 11:10:00,180.0,158.0,5.3,15.4,9.6,68,633.1,0,268,ALTZOMONI
05/04/23 19:00:00,129.0,103.0,10.1,16.5,8.4,50,631.3,0,0,ALTZOMONI
05/04/23 18:50:00,186.0,186.0,7.6,15.6,9.4,57,631.3,0,13,ALTZOMONI
05/04/23 18:40:00,232.0,195.0,4.5,14.1,10.2,54,631.3,0,42,ALTZOMONI
05/04/23 18:30:00,265.0,244.0,6.3,11.5,11.0,52,631.3,0,73,ALTZOMONI
05/04/23 18:20:00,265.0,267.0,7.3,14.1,11.9,49,631.2,0,113,ALTZOMONI
05/04/23 18:10:00,257.0,250.0,5.5,12.2,12.2,46,631.2,0,141,ALTZOMONI
05/04/23 18:00:00,276.0,254.0,8.8,16.3,12.5,46,631.1,0,185,ALTZOMONI
05/04/23 17:50:00,262.0,253.0,10.9,21.5,12.6,46,631.0,0,236,ALTZOMONI
05/04/23 17:40:00,277.0,257.0,10.8,22.0,13.0,45,631.1,0,284,ALTZOMONI
05/04/23 17:30:00,273.0,267.0,12.7,23.7,13.4,44,631.1,0,335,ALTZOMONI
05/04/23 17:20:00,288.0,268.0,13.6,32.0,13.7,45,631.0,0,382,ALTZOMONI
05/04/23 17:10:00,283.0,291.0,13.0,25.2,13.9,45,631.1,0,420,ALTZOMONI
05/04/23 17:00:00,270.0,263.0,11.1,25.0,14.0,46,631.1,0,474,ALTZOMONI
05/04/23 16:50:00,256.0,268.0,11.0,24.3,14.6,44,631.1,0,512,ALTZOMONI
05/04/23 16:40:00,257.0,266.0,11.9,24.8,15.0,44,631.1,0,545,ALTZOMONI
05/04/23 16:30:00,249.0,264.0,12.2,34.1,15.4,45,631.1,0,615,ALTZOMONI
05/04/23 16:20:00,248.0,276.0,12.3,29.1,17.8,39,631.1,0,670,ALTZOMONI
