temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,UV,fechaHora
18.8,36,3.4,0.0,225.0,0.4,225.0,779.8,0.0,0.0,05/04/23 00:30
18.3,39,4.1,0.0,225.0,0.9,225.0,779.7,0.0,0.0,05/04/23 01:00
18.1,39,3.9,0.0,225.0,0.4,225.0,779.3,0.0,0.0,05/04/23 01:30
17.8,41,4.4,0.0,9999.0,0.0,9999.0,779.3,0.0,0.0,05/04/23 02:00
17.4,44,5.0,0.0,9999.0,0.0,9999.0,779.0,0.0,0.0,05/04/23 02:30
17.1,46,5.3,0.0,9999.0,0.0,9999.0,778.8,0.0,0.0,05/04/23 03:00
16.7,47,5.3,0.0,9999.0,0.0,9999.0,778.7,0.0,0.0,05/04/23 03:30
16.6,48,5.5,0.0,9999.0,0.0,9999.0,778.6,0.0,0.0,05/04/23 04:00
16.0,49,5.3,0.0,9999.0,0.0,9999.0,778.7,0.0,0.0,05/04/23 04:30
15.6,50,5.2,0.0,9999.0,0.0,9999.0,779.0,0.0,0.0,05/04/23 05:00
15.5,52,5.7,0.0,9999.0,0.0,9999.0,779.2,0.0,0.0,05/04/23 05:30
15.3,54,6.0,0.0,247.5,1.3,247.5,779.5,0.0,0.0,05/04/23 06:00
14.9,54,5.7,0.0,9999.0,0.0,9999.0,779.8,0.0,0.0,05/04/23 06:30
14.8,54,5.6,0.0,337.5,0.4,337.5,780.0,0.0,0.0,05/04/23 07:00
15.4,51,5.3,0.0,9999.0,0.0,9999.0,780.2,0.0,0.0,05/04/23 07:30
17.0,48,5.9,0.4,270.0,1.8,247.5,780.5,0.0,0.7,05/04/23 08:00
18.7,43,5.8,0.4,247.5,1.8,247.5,780.5,0.0,1.2,05/04/23 08:30
20.4,40,6.4,0.9,90.0,1.8,112.5,780.5,0.0,1.8,05/04/23 09:00
21.6,39,7.1,0.9,67.5,2.7,202.5,780.4,0.0,2.6,05/04/23 09:30
22.0,35,5.8,0.9,202.5,3.1,247.5,780.4,0.0,3.5,05/04/23 10:00
23.6,32,5.9,0.9,90.0,3.6,67.5,780.2,0.0,4.6,05/04/23 10:30
24.4,29,5.2,1.3,337.5,4.0,360.0,779.9,0.0,5.5,05/04/23 11:00
25.6,29,6.2,1.8,337.5,5.4,45.0,779.6,0.0,5.9,05/04/23 11:30
26.0,27,5.5,1.8,67.5,4.9,67.5,779.3,0.0,6.2,05/04/23 12:00
27.0,23,4.1,1.3,135.0,3.6,202.5,778.8,0.0,6.8,05/04/23 12:30
28.0,20,2.9,2.2,45.0,5.4,202.5,778.2,0.0,6.6,05/04/23 13:00
28.9,16,0.6,1.8,202.5,5.4,22.5,777.7,0.0,6.5,05/04/23 13:30
29.5,16,1.0,2.7,67.5,6.3,112.5,777.1,0.0,6.1,05/04/23 14:00
29.8,11,-3.9,2.2,112.5,6.3,90.0,776.6,0.0,4.8,05/04/23 14:30
30.6,7,-9.1,2.7,157.5,8.9,225.0,776.3,0.0,4.8,05/04/23 15:00
30.6,7,-9.2,3.6,180.0,8.5,180.0,776.2,0.0,3.8,05/04/23 15:30
30.2,10,-4.8,4.5,180.0,11.2,157.5,776.0,0.0,2.9,05/04/23 16:00
29.4,12,-3.0,4.9,202.5,10.7,202.5,775.9,0.0,1.5,05/04/23 16:30
28.9,11,-4.5,5.4,180.0,12.1,180.0,776.1,0.0,0.9,05/04/23 17:00
28.4,12,-3.7,4.0,202.5,9.4,157.5,776.2,0.0,0.9,05/04/23 17:30
27.9,14,-2.1,4.0,180.0,11.2,180.0,776.3,0.0,0.4,05/04/23 18:00
27.2,16,-0.8,4.0,180.0,8.5,157.5,776.6,0.0,0.0,05/04/23 18:30
25.9,20,1.2,3.6,180.0,8.5,180.0,776.8,0.0,0.0,05/04/23 19:00
24.7,25,3.3,3.1,180.0,8.9,157.5,777.4,0.0,0.0,05/04/23 19:30
23.7,25,2.5,2.2,135.0,5.4,157.5,778.3,0.0,0.0,05/04/23 20:00
22.9,28,3.4,1.8,157.5,5.4,157.5,778.9,0.0,0.0,05/04/23 20:30
22.4,29,3.5,0.9,135.0,3.1,135.0,779.3,0.0,0.0,05/04/23 21:00
22.3,36,6.5,1.3,292.5,5.8,315.0,779.6,0.0,0.0,05/04/23 21:30
21.8,40,7.6,2.7,270.0,7.6,292.5,779.8,0.0,0.0,05/04/23 22:00
21.3,42,7.9,3.6,315.0,8.9,292.5,780.2,0.0,0.0,05/04/23 22:30
20.8,41,7.0,3.1,315.0,8.0,270.0,780.4,0.0,0.0,05/04/23 23:00
19.9,45,7.6,3.1,337.5,6.3,360.0,780.5,0.0,0.0,05/04/23 23:30
19.5,56,10.5,2.2,315.0,5.4,292.5,780.4,0.0,0.0,06/04/23 00:00
19.2,57,10.4,1.8,292.5,5.8,315.0,780.3,0.0,0.0,06/04/23 00:30
18.8,59,10.6,2.2,270.0,5.4,270.0,780.1,0.0,0.0,06/04/23 01:00
18.4,61,10.8,2.2,315.0,4.9,292.5,780.0,0.0,0.0,06/04/23 01:30
18.1,64,11.1,2.2,315.0,4.5,292.5,779.8,0.0,0.0,06/04/23 02:00
17.8,65,11.1,0.9,292.5,3.6,337.5,779.9,0.0,0.0,06/04/23 02:30
17.6,66,11.1,0.0,315.0,1.8,360.0,779.9,0.0,0.0,06/04/23 03:00
17.3,68,11.4,0.4,270.0,1.8,225.0,779.9,0.0,0.0,06/04/23 03:30
17.1,69,11.4,0.9,292.5,3.6,315.0,780.1,0.0,0.0,06/04/23 04:00
17.0,70,11.5,0.9,292.5,2.7,270.0,780.2,0.0,0.0,06/04/23 04:30
16.8,72,11.7,0.0,270.0,1.3,315.0,780.5,0.0,0.0,06/04/23 05:00
16.5,73,11.6,0.0,9999.0,0.0,9999.0,780.5,0.0,0.0,06/04/23 05:30
16.2,73,11.4,0.0,9999.0,0.0,9999.0,780.5,0.0,0.0,06/04/23 06:00
16.1,73,11.2,0.0,9999.0,0.0,9999.0,780.6,0.0,0.0,06/04/23 06:30
15.9,74,11.3,0.0,9999.0,0.0,9999.0,781.0,0.0,0.0,06/04/23 07:00
16.4,65,9.8,0.0,180.0,2.2,202.5,781.4,0.0,0.0,06/04/23 07:30
17.1,70,11.6,0.4,270.0,2.7,270.0,781.7,0.0,0.6,06/04/23 08:00
18.1,67,11.9,0.9,22.5,3.1,292.5,781.9,0.0,1.1,06/04/23 08:30
18.7,65,12.0,0.9,270.0,3.6,315.0,781.9,0.0,1.8,06/04/23 09:00
19.6,60,11.6,0.9,67.5,4.0,67.5,781.8,0.0,2.6,06/04/23 09:30
20.7,54,11.1,1.3,90.0,4.5,90.0,781.7,0.0,3.5,06/04/23 10:00
21.6,51,11.0,1.3,90.0,4.5,90.0,781.2,0.0,4.5,06/04/23 10:30
